Species;PictureNumberTrain;IndividualPlantNumberTrain;PictureNumberTest;IndividualPlantNumberTest;PictureNumberAll;IndividualPlantNumberAll;1366945452806__MICA-run1_OfficialScore_InverseRank;1366971577662__MICA-run2_OfficialScore_InverseRank;1367338673606__outputCLEFTestMean_OfficialScore_InverseRank;1367338771296__outputCLEFTestMax_OfficialScore_InverseRank;1367592085169__LAPI_run1_OfficialScore_InverseRank;1367925811122__plantnet_inria_run1_OfficialScore_InverseRank;1367926056487__plantnet_inria_run2_OfficialScore_InverseRank;1367926326223__plantnet_inria_run3_OfficialScore_InverseRank;1367946058774__LirisReVeS_run1_OfficialScore_InverseRank;1367946215062__LirisReVeS_run2_OfficialScore_InverseRank;1367974757413__SCG USP_run1_OfficialScore_InverseRank;1367975837452__SCG USP_run2_OfficialScore_InverseRank;1368002237443__AgSPPR_run1_OfficialScore_InverseRank;1368028158605__run_wiki_sum_3_OfficialScore_InverseRank;1368030128394__run_author10_GSP10_lire80_OfficialScore_InverseRank;1368030994722__run_lire_naivebayes_OfficialScore_InverseRank;1368031342488__run_wiki_max_1_OfficialScore_InverseRank;1368032808839__all_siftcopphsv_cca_OfficialScore_InverseRank;1368033933190__SCG USP_run3_OfficialScore_InverseRank;1368034466828__new_100_OfficialScore_InverseRank;1368038646069__DBISForMaT_run1_train2012_svm_Scan4_Photo2_1_2_3_OfficialScore_InverseRank;1368038721036__DBISForMaT_run2_train2012_svm_Scan12_Photo4_-_1_4_OfficialScore_InverseRank;1368041641333__run2_OfficialScore_InverseRank;1368041861286__run3_OfficialScore_InverseRank;1368045672892__DBISForMaT_run3_crossval2013_svm_feature4_config60_1_2_3_OfficialScore_InverseRank;1368045820175__DBISForMaT_run4_crossval2013_svm_feature5_config80_Photo14_1_3_3_OfficialScore_InverseRank;1368049985079__plantnet_inria_run4_OfficialScore_InverseRank;1368050270540__SCG USP_run4_OfficialScore_InverseRank;1368063045390__AgSPPR_run2_OfficialScore_InverseRank;1368066775910__AgSPPR_run3_OfficialScore_InverseRank;1368093262111__Run3_OfficialScore_InverseRank;1368163545166__Sabanci-Okan-Run1_OfficialScore_InverseRank;1368165605197__new2_100_OfficialScore_InverseRank;1366945452806__MICA-run1_OfficialScore_Top1AsImageCLEF2011;1366971577662__MICA-run2_OfficialScore_Top1AsImageCLEF2011;1367338673606__outputCLEFTestMean_OfficialScore_Top1AsImageCLEF2011;1367338771296__outputCLEFTestMax_OfficialScore_Top1AsImageCLEF2011;1367592085169__LAPI_run1_OfficialScore_Top1AsImageCLEF2011;1367925811122__plantnet_inria_run1_OfficialScore_Top1AsImageCLEF2011;1367926056487__plantnet_inria_run2_OfficialScore_Top1AsImageCLEF2011;1367926326223__plantnet_inria_run3_OfficialScore_Top1AsImageCLEF2011;1367946058774__LirisReVeS_run1_OfficialScore_Top1AsImageCLEF2011;1367946215062__LirisReVeS_run2_OfficialScore_Top1AsImageCLEF2011;1367974757413__SCG USP_run1_OfficialScore_Top1AsImageCLEF2011;1367975837452__SCG USP_run2_OfficialScore_Top1AsImageCLEF2011;1368002237443__AgSPPR_run1_OfficialScore_Top1AsImageCLEF2011;1368028158605__run_wiki_sum_3_OfficialScore_Top1AsImageCLEF2011;1368030128394__run_author10_GSP10_lire80_OfficialScore_Top1AsImageCLEF2011;1368030994722__run_lire_naivebayes_OfficialScore_Top1AsImageCLEF2011;1368031342488__run_wiki_max_1_OfficialScore_Top1AsImageCLEF2011;1368032808839__all_siftcopphsv_cca_OfficialScore_Top1AsImageCLEF2011;1368033933190__SCG USP_run3_OfficialScore_Top1AsImageCLEF2011;1368034466828__new_100_OfficialScore_Top1AsImageCLEF2011;1368038646069__DBISForMaT_run1_train2012_svm_Scan4_Photo2_1_2_3_OfficialScore_Top1AsImageCLEF2011;1368038721036__DBISForMaT_run2_train2012_svm_Scan12_Photo4_-_1_4_OfficialScore_Top1AsImageCLEF2011;1368041641333__run2_OfficialScore_Top1AsImageCLEF2011;1368041861286__run3_OfficialScore_Top1AsImageCLEF2011;1368045672892__DBISForMaT_run3_crossval2013_svm_feature4_config60_1_2_3_OfficialScore_Top1AsImageCLEF2011;1368045820175__DBISForMaT_run4_crossval2013_svm_feature5_config80_Photo14_1_3_3_OfficialScore_Top1AsImageCLEF2011;1368049985079__plantnet_inria_run4_OfficialScore_Top1AsImageCLEF2011;1368050270540__SCG USP_run4_OfficialScore_Top1AsImageCLEF2011;1368063045390__AgSPPR_run2_OfficialScore_Top1AsImageCLEF2011;1368066775910__AgSPPR_run3_OfficialScore_Top1AsImageCLEF2011;1368093262111__Run3_OfficialScore_Top1AsImageCLEF2011;1368163545166__Sabanci-Okan-Run1_OfficialScore_Top1AsImageCLEF2011;1368165605197__new2_100_OfficialScore_Top1AsImageCLEF2011;
Syringa vulgaris;96;8;20;7;116;15;0,001;0,116;0,000;0,000;0,008;0,203;0,197;0,264;0,074;0,076;0,010;0,001;0,000;0,281;0,282;0,142;0,325;0,513;0,022;0,061;0,067;0,217;0,487;0,052;0,217;0,050;0,378;0,001;0,000;0,000;0,000;0,148;0,061;0,000;0,100;0,000;0,000;0,000;0,000;0,000;0,200;0,000;0,000;0,000;0,000;0,000;0,200;0,200;0,000;0,217;0,417;0,000;0,000;0,067;0,217;0,400;0,025;0,217;0,050;0,250;0,000;0,000;0,000;0,000;0,017;0,000;
Taxus baccata;31;8;10;8;41;16;0,008;0,006;0,050;0,050;0,000;0,217;0,243;0,146;0,150;0,150;0,014;0,015;0,000;0,023;0,033;0,009;0,166;0,325;0,005;0,071;0,000;0,050;0,339;0,327;0,050;0,100;0,199;0,010;0,000;0,000;0,008;0,125;0,071;0,000;0,000;0,000;0,000;0,000;0,050;0,100;0,000;0,100;0,100;0,000;0,000;0,000;0,000;0,000;0,000;0,100;0,200;0,000;0,000;0,000;0,050;0,200;0,200;0,050;0,100;0,050;0,000;0,000;0,000;0,000;0,100;0,000;
Thalictrum aquilegiifolium;24;7;10;8;34;15;0,021;0,113;0,500;0,500;0,042;0,632;0,625;0,627;0,045;0,045;0,000;0,000;0,000;0,133;0,134;0,016;0,407;0,796;0,000;0,066;0,583;0,583;0,816;0,033;0,583;0,583;0,611;0,041;0,000;0,000;0,021;0,542;0,066;0,000;0,000;0,500;0,500;0,042;0,625;0,583;0,625;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,375;0,750;0,000;0,000;0,583;0,583;0,792;0,000;0,583;0,583;0,583;0,000;0,000;0,000;0,000;0,500;0,000;
Tilia cordata;26;6;4;3;30;9;0,000;0,000;0,000;0,000;0,000;0,027;0,027;0,005;0,021;0,025;0,000;0,000;0,000;0,008;0,013;0,006;0,008;0,015;0,000;0,077;0,000;0,000;0,019;0,053;0,000;0,000;0,073;0,042;0,000;0,000;0,000;0,000;0,077;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Tilia dasystyla;56;2;0;0;56;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tilia platyphyllos;69;9;25;6;94;15;0,006;0,006;0,000;0,000;0,026;0,074;0,046;0,044;0,136;0,123;0,000;0,000;0,000;0,023;0,028;0,028;0,033;0,095;0,012;0,090;0,000;0,000;0,094;0,108;0,000;0,000;0,073;0,025;0,000;0,000;0,004;0,021;0,090;0,000;0,000;0,000;0,000;0,022;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,011;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Tussilago farfara;25;11;11;11;36;22;0,031;0,093;0,000;0,000;0,000;0,317;0,326;0,410;0,150;0,150;0,000;0,000;0,000;0,111;0,083;0,025;0,163;0,287;0,000;0,083;0,111;0,167;0,309;0,102;0,167;0,333;0,308;0,012;0,000;0,000;0,031;0,506;0,083;0,000;0,056;0,000;0,000;0,000;0,222;0,222;0,389;0,000;0,000;0,000;0,000;0,000;0,056;0,000;0,000;0,111;0,167;0,000;0,000;0,111;0,167;0,222;0,000;0,167;0,333;0,167;0,000;0,000;0,000;0,000;0,389;0,000;
Ulmus minor;47;15;14;10;61;25;0,020;0,020;0,000;0,000;0,000;0,036;0,055;0,090;0,012;0,015;0,000;0,000;0,000;0,013;0,018;0,014;0,051;0,081;0,016;0,106;0,000;0,000;0,046;0,088;0,000;0,000;0,111;0,004;0,000;0,000;0,020;0,059;0,106;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,071;0,000;0,000;0,000;0,000;0,000;0,071;0,000;0,000;0,071;0,000;0,000;0,000;0,000;0,000;0,000;
Verbascum lychnitis;21;7;10;10;31;17;0,004;0,000;0,000;0,000;0,000;0,029;0,043;0,033;0,000;0,000;0,053;0,070;0,000;0,012;0,013;0,006;0,023;0,062;0,004;0,103;0,083;0,083;0,148;0,034;0,083;0,083;0,026;0,016;0,000;0,000;0,004;0,000;0,103;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,083;0,083;0,000;0,000;0,083;0,083;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Verbascum pulverulentum;29;5;11;5;40;10;0,014;0,007;0,000;0,000;0,033;0,127;0,210;0,124;0,000;0,000;0,049;0,060;0,000;0,022;0,021;0,004;0,053;0,027;0,008;0,116;0,000;0,100;0,100;0,074;0,100;0,167;0,180;0,000;0,000;0,000;0,014;0,139;0,116;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,100;0,000;0,000;0,100;0,167;0,000;0,000;0,000;0,000;0,000;0,100;0,000;
Verbascum sinuatum;28;6;9;6;37;12;0,000;0,000;0,000;0,000;0,250;0,035;0,039;0,119;0,015;0,015;0,079;0,027;0,000;0,013;0,024;0,006;0,036;0,088;0,000;0,127;0,200;0,200;0,115;0,026;0,200;0,200;0,236;0,002;0,000;0,000;0,000;0,000;0,127;0,000;0,000;0,000;0,000;0,250;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,200;0,200;0,000;0,000;0,200;0,200;0,200;0,000;0,000;0,000;0,000;0,000;0,000;
Verbascum thapsus;26;7;6;6;32;13;0,006;0,018;0,000;0,000;0,000;0,063;0,154;0,024;0,000;0,000;0,117;0,038;0,000;0,010;0,010;0,007;0,136;0,276;0,004;0,143;0,000;0,000;0,280;0,070;0,000;0,250;0,074;0,000;0,000;0,000;0,006;0,042;0,143;0,000;0,000;0,000;0,000;0,000;0,000;0,125;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,250;0,000;0,000;0,000;0,000;0,250;0,000;0,000;0,250;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Verbena officinalis;29;7;11;9;40;16;0,006;0,024;0,000;0,000;0,031;0,180;0,189;0,160;0,000;0,000;0,009;0,019;0,000;0,018;0,017;0,070;0,041;0,053;0,000;0,172;0,063;0,000;0,110;0,028;0,000;0,156;0,111;0,089;0,000;0,000;0,006;0,104;0,172;0,000;0,000;0,000;0,000;0,000;0,125;0,125;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,062;0,000;0,000;0,000;0,000;0,156;0,000;0,000;0,000;0,000;0,000;0,062;0,000;
Viburnum lantana;46;15;26;14;72;29;0,067;0,032;0,000;0,000;0,000;0,139;0,156;0,232;0,054;0,055;0,000;0,000;0,000;0,042;0,038;0,011;0,067;0,180;0,010;0,222;0,133;0,008;0,328;0,058;0,000;0,133;0,109;0,014;0,000;0,000;0,067;0,116;0,222;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,133;0,008;0,200;0,000;0,000;0,133;0,000;0,000;0,000;0,000;0,000;0,100;0,000;
Viburnum opulus;60;15;19;15;79;30;0,070;0,069;0,000;0,000;0,042;0,332;0,330;0,329;0,125;0,125;0,000;0,000;0,000;0,083;0,089;0,056;0,123;0,171;0,021;0,315;0,000;0,000;0,170;0,233;0,000;0,167;0,125;0,000;0,000;0,000;0,070;0,057;0,315;0,000;0,000;0,000;0,000;0,000;0,167;0,167;0,104;0,083;0,083;0,000;0,000;0,000;0,000;0,000;0,000;0,083;0,042;0,000;0,000;0,000;0,000;0,021;0,021;0,000;0,167;0,083;0,000;0,000;0,000;0,000;0,000;0,000;
Viburnum tinus;202;44;90;49;292;93;0,029;0,140;0,146;0,146;0,172;0,746;0,775;0,729;0,110;0,133;0,002;0,004;0,000;0,405;0,403;0,110;0,265;0,723;0,248;0,431;0,120;0,276;0,712;0,389;0,286;0,212;0,649;0,014;0,000;0,000;0,071;0,084;0,431;0,021;0,052;0,119;0,119;0,172;0,699;0,716;0,654;0,042;0,042;0,000;0,000;0,000;0,218;0,209;0,010;0,164;0,658;0,098;0,000;0,120;0,276;0,635;0,325;0,286;0,212;0,528;0,000;0,000;0,000;0,070;0,057;0,000;
Viola biflora;21;6;6;5;27;11;0,000;0,000;0,200;0,200;0,000;0,389;0,414;0,342;0,250;0,250;0,000;0,000;0,000;0,091;0,054;0,007;0,297;0,106;0,000;0,500;0,000;0,000;0,144;0,267;0,000;0,200;0,131;0,000;0,000;0,000;0,000;0,517;0,500;0,000;0,000;0,200;0,200;0,000;0,200;0,200;0,200;0,200;0,200;0,000;0,000;0,000;0,000;0,000;0,000;0,200;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,200;0,000;0,000;0,000;0,000;0,000;0,200;0,000;
Vitex agnus-castus;70;9;12;5;82;14;0,000;0,004;0,000;0,000;0,000;0,079;0,094;0,072;0,004;0,004;0,000;0,005;0,000;0,012;0,013;0,020;0,017;0,319;0,020;1,000;0,063;0,063;0,288;0,135;0,063;0,063;0,073;0,004;0,000;0,000;0,042;0,008;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,208;0,000;1,000;0,062;0,062;0,146;0,104;0,062;0,062;0,000;0,000;0,000;0,000;0,042;0,000;1,000;
