Species;PictureNumberTrain;IndividualPlantNumberTrain;PictureNumberTest;IndividualPlantNumberTest;PictureNumberAll;IndividualPlantNumberAll;1366945452806__MICA-run1_OfficialScore_InverseRank;1366971577662__MICA-run2_OfficialScore_InverseRank;1367338673606__outputCLEFTestMean_OfficialScore_InverseRank;1367338771296__outputCLEFTestMax_OfficialScore_InverseRank;1367592085169__LAPI_run1_OfficialScore_InverseRank;1367925811122__plantnet_inria_run1_OfficialScore_InverseRank;1367926056487__plantnet_inria_run2_OfficialScore_InverseRank;1367926326223__plantnet_inria_run3_OfficialScore_InverseRank;1367946058774__LirisReVeS_run1_OfficialScore_InverseRank;1367946215062__LirisReVeS_run2_OfficialScore_InverseRank;1367974757413__SCG USP_run1_OfficialScore_InverseRank;1367975837452__SCG USP_run2_OfficialScore_InverseRank;1368002237443__AgSPPR_run1_OfficialScore_InverseRank;1368028158605__run_wiki_sum_3_OfficialScore_InverseRank;1368030128394__run_author10_GSP10_lire80_OfficialScore_InverseRank;1368030994722__run_lire_naivebayes_OfficialScore_InverseRank;1368031342488__run_wiki_max_1_OfficialScore_InverseRank;1368032808839__all_siftcopphsv_cca_OfficialScore_InverseRank;1368033933190__SCG USP_run3_OfficialScore_InverseRank;1368034466828__new_100_OfficialScore_InverseRank;1368038646069__DBISForMaT_run1_train2012_svm_Scan4_Photo2_1_2_3_OfficialScore_InverseRank;1368038721036__DBISForMaT_run2_train2012_svm_Scan12_Photo4_-_1_4_OfficialScore_InverseRank;1368041641333__run2_OfficialScore_InverseRank;1368041861286__run3_OfficialScore_InverseRank;1368045672892__DBISForMaT_run3_crossval2013_svm_feature4_config60_1_2_3_OfficialScore_InverseRank;1368045820175__DBISForMaT_run4_crossval2013_svm_feature5_config80_Photo14_1_3_3_OfficialScore_InverseRank;1368049985079__plantnet_inria_run4_OfficialScore_InverseRank;1368050270540__SCG USP_run4_OfficialScore_InverseRank;1368063045390__AgSPPR_run2_OfficialScore_InverseRank;1368066775910__AgSPPR_run3_OfficialScore_InverseRank;1368093262111__Run3_OfficialScore_InverseRank;1368163545166__Sabanci-Okan-Run1_OfficialScore_InverseRank;1368165605197__new2_100_OfficialScore_InverseRank;1366945452806__MICA-run1_OfficialScore_Top1AsImageCLEF2011;1366971577662__MICA-run2_OfficialScore_Top1AsImageCLEF2011;1367338673606__outputCLEFTestMean_OfficialScore_Top1AsImageCLEF2011;1367338771296__outputCLEFTestMax_OfficialScore_Top1AsImageCLEF2011;1367592085169__LAPI_run1_OfficialScore_Top1AsImageCLEF2011;1367925811122__plantnet_inria_run1_OfficialScore_Top1AsImageCLEF2011;1367926056487__plantnet_inria_run2_OfficialScore_Top1AsImageCLEF2011;1367926326223__plantnet_inria_run3_OfficialScore_Top1AsImageCLEF2011;1367946058774__LirisReVeS_run1_OfficialScore_Top1AsImageCLEF2011;1367946215062__LirisReVeS_run2_OfficialScore_Top1AsImageCLEF2011;1367974757413__SCG USP_run1_OfficialScore_Top1AsImageCLEF2011;1367975837452__SCG USP_run2_OfficialScore_Top1AsImageCLEF2011;1368002237443__AgSPPR_run1_OfficialScore_Top1AsImageCLEF2011;1368028158605__run_wiki_sum_3_OfficialScore_Top1AsImageCLEF2011;1368030128394__run_author10_GSP10_lire80_OfficialScore_Top1AsImageCLEF2011;1368030994722__run_lire_naivebayes_OfficialScore_Top1AsImageCLEF2011;1368031342488__run_wiki_max_1_OfficialScore_Top1AsImageCLEF2011;1368032808839__all_siftcopphsv_cca_OfficialScore_Top1AsImageCLEF2011;1368033933190__SCG USP_run3_OfficialScore_Top1AsImageCLEF2011;1368034466828__new_100_OfficialScore_Top1AsImageCLEF2011;1368038646069__DBISForMaT_run1_train2012_svm_Scan4_Photo2_1_2_3_OfficialScore_Top1AsImageCLEF2011;1368038721036__DBISForMaT_run2_train2012_svm_Scan12_Photo4_-_1_4_OfficialScore_Top1AsImageCLEF2011;1368041641333__run2_OfficialScore_Top1AsImageCLEF2011;1368041861286__run3_OfficialScore_Top1AsImageCLEF2011;1368045672892__DBISForMaT_run3_crossval2013_svm_feature4_config60_1_2_3_OfficialScore_Top1AsImageCLEF2011;1368045820175__DBISForMaT_run4_crossval2013_svm_feature5_config80_Photo14_1_3_3_OfficialScore_Top1AsImageCLEF2011;1368049985079__plantnet_inria_run4_OfficialScore_Top1AsImageCLEF2011;1368050270540__SCG USP_run4_OfficialScore_Top1AsImageCLEF2011;1368063045390__AgSPPR_run2_OfficialScore_Top1AsImageCLEF2011;1368066775910__AgSPPR_run3_OfficialScore_Top1AsImageCLEF2011;1368093262111__Run3_OfficialScore_Top1AsImageCLEF2011;1368163545166__Sabanci-Okan-Run1_OfficialScore_Top1AsImageCLEF2011;1368165605197__new2_100_OfficialScore_Top1AsImageCLEF2011;
Acer campestre;95;30;24;16;119;46;0,015;0,015;0,038;0,038;0,000;0,192;0,196;0,159;0,294;0,208;0,004;0,002;0,000;0,049;0,055;0,086;0,082;0,104;0,048;0,000;0,023;0,023;0,155;0,110;0,023;0,023;0,084;0,002;0,000;0,000;0,000;0,092;0,000;0,000;0,000;0,000;0,000;0,000;0,045;0,045;0,045;0,182;0,091;0,000;0,000;0,000;0,000;0,000;0,000;0,023;0,023;0,000;0,000;0,023;0,023;0,091;0,023;0,023;0,023;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Acer monspessulanum;81;15;15;13;96;28;0,065;0,068;0,042;0,042;0,000;0,049;0,049;0,082;0,278;0,280;0,000;0,001;0,000;0,023;0,021;0,018;0,017;0,186;0,032;0,000;0,000;0,000;0,156;0,041;0,000;0,000;0,063;0,072;0,000;0,000;0,031;0,009;0,000;0,062;0,062;0,042;0,042;0,000;0,000;0,000;0,031;0,250;0,250;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,000;0,000;0,000;0,000;0,125;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,031;0,000;0,000;
Acer negundo;155;11;82;11;237;22;0,003;0,012;0,172;0,167;0,004;0,330;0,364;0,344;0,087;0,082;0,004;0,002;0,000;0,286;0,311;0,159;0,089;0,407;0,074;0,000;0,180;0,190;0,512;0,409;0,033;0,197;0,390;0,008;0,000;0,000;0,002;0,073;0,000;0,000;0,000;0,143;0,155;0,002;0,275;0,286;0,268;0,000;0,000;0,000;0,000;0,000;0,157;0,171;0,025;0,033;0,303;0,000;0,000;0,180;0,190;0,467;0,347;0,033;0,197;0,356;0,006;0,000;0,000;0,000;0,027;0,000;
Acer opalus;44;8;7;5;51;13;0,006;0,006;0,000;0,000;0,125;0,059;0,058;0,034;0,320;0,323;0,000;0,000;0,000;0,029;0,035;0,024;0,023;0,070;0,003;0,000;0,000;0,000;0,065;0,110;0,000;0,000;0,025;0,000;0,000;0,000;0,000;0,171;0,000;0,000;0,000;0,000;0,000;0,125;0,000;0,000;0,000;0,250;0,250;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,125;0,000;
Acer platanoides;88;22;32;19;120;41;0,028;0,026;0,060;0,060;0,110;0,210;0,197;0,340;0,153;0,168;0,014;0,008;0,000;0,059;0,057;0,094;0,082;0,172;0,026;0,000;0,071;0,014;0,234;0,291;0,014;0,000;0,173;0,023;0,000;0,000;0,010;0,250;0,000;0,000;0,000;0,000;0,000;0,086;0,119;0,119;0,262;0,071;0,071;0,000;0,000;0,000;0,000;0,000;0,014;0,000;0,000;0,000;0,000;0,071;0,014;0,086;0,151;0,014;0,000;0,114;0,000;0,000;0,000;0,000;0,217;0,000;
Acer pseudoplatanus;102;12;35;18;137;30;0,001;0,000;0,002;0,003;0,000;0,067;0,063;0,087;0,259;0,248;0,157;0,056;0,000;0,025;0,022;0,044;0,049;0,094;0,048;0,000;0,042;0,042;0,126;0,263;0,042;0,042;0,143;0,006;0,000;0,000;0,001;0,012;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,167;0,039;0,000;0,000;0,000;0,000;0,000;0,000;0,026;0,000;0,000;0,042;0,042;0,026;0,188;0,042;0,042;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Acer saccharinum;37;2;8;2;45;4;0,036;0,036;0,000;0,000;0,000;0,029;0,032;0,020;0,033;0,063;0,000;0,000;0,000;0,036;0,030;0,026;0,044;0,040;0,002;0,000;0,000;0,000;0,032;0,155;0,000;0,000;0,011;0,005;0,000;0,000;0,000;0,006;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Adonis annua;21;6;5;5;26;11;0,000;0,071;0,417;0,417;0,000;0,710;0,713;0,732;0,503;0,503;0,013;0,008;0,000;0,093;0,093;0,019;0,059;0,306;0,000;0,000;0,333;0,667;0,676;0,617;0,667;0,333;0,440;0,000;0,000;0,000;0,000;0,583;0,000;0,000;0,000;0,333;0,333;0,000;0,667;0,667;0,667;0,333;0,333;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,000;0,000;0,333;0,667;0,500;0,500;0,667;0,333;0,333;0,000;0,000;0,000;0,000;0,333;0,000;
Aesculus hippocastanum;182;25;48;25;230;50;0,014;0,040;0,071;0,062;0,067;0,491;0,541;0,447;0,087;0,122;0,095;0,165;0,000;0,161;0,167;0,273;0,116;0,571;0,130;0,000;0,075;0,143;0,591;0,606;0,143;0,048;0,369;0,022;0,000;0,000;0,084;0,153;0,000;0,000;0,018;0,000;0,000;0,030;0,379;0,435;0,339;0,000;0,071;0,024;0,083;0,000;0,036;0,036;0,208;0,048;0,520;0,006;0,000;0,075;0,143;0,498;0,506;0,143;0,048;0,313;0,000;0,000;0,000;0,071;0,077;0,000;
Agrimonia eupatoria;30;7;8;8;38;15;0,021;0,029;0,028;0,028;0,083;0,078;0,130;0,029;0,000;0,000;0,010;0,026;0,000;0,025;0,025;0,002;0,024;0,067;0,009;0,000;0,000;0,000;0,084;0,274;0,000;0,083;0,090;0,002;0,000;0,000;0,000;0,103;0,000;0,000;0,000;0,000;0,000;0,083;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,000;0,083;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Ailanthus altissima;49;18;15;9;64;27;0,016;0,016;0,083;0,083;0,042;0,073;0,099;0,064;0,117;0,190;0,000;0,001;0,000;0,018;0,025;0,009;0,024;0,307;0,018;0,000;0,000;0,000;0,354;0,152;0,000;0,056;0,085;0,019;0,000;0,000;0,016;0,011;0,000;0,000;0,000;0,000;0,000;0,028;0,028;0,056;0,000;0,000;0,167;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,130;0,000;0,000;0,000;0,000;0,213;0,028;0,000;0,056;0,056;0,000;0,000;0,000;0,000;0,000;0,000;
Albizia julibrissin;48;7;27;3;75;10;0,001;0,001;0,000;0,000;0,016;0,013;0,014;0,009;0,051;0,064;0,000;0,000;0,000;0,015;0,013;0,010;0,012;0,017;0,002;0,000;0,000;0,000;0,044;0,040;0,000;0,000;0,024;0,006;0,000;0,000;0,001;0,002;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Allium triquetrum;17;4;8;5;25;9;0,000;0,005;0,000;0,000;0,042;0,210;0,220;0,187;0,000;0,000;0,000;0,000;0,000;0,030;0,035;0,009;0,024;0,035;0,000;0,000;0,000;0,000;0,039;0,174;0,000;0,000;0,340;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,125;0,125;0,083;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,333;0,000;0,000;0,000;0,000;0,000;0,000;
Alnus cordata;17;4;2;2;19;6;0,063;0,063;0,000;0,000;0,000;0,000;0,000;0,000;0,217;0,300;0,000;0,000;0,000;0,013;0,019;0,008;0,500;0,121;0,000;0,000;0,000;0,000;0,087;0,078;0,000;0,000;0,028;0,000;0,000;0,000;0,063;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,500;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Alnus glutinosa;70;12;63;16;133;28;0,009;0,009;0,000;0,000;0,015;0,194;0,219;0,274;0,251;0,270;0,003;0,001;0,000;0,052;0,061;0,067;0,140;0,142;0,012;0,000;0,013;0,010;0,141;0,195;0,010;0,089;0,051;0,025;0,000;0,000;0,001;0,180;0,000;0,000;0,000;0,000;0,000;0,000;0,091;0,125;0,164;0,167;0,167;0,000;0,000;0,000;0,000;0,000;0,021;0,083;0,058;0,000;0,000;0,013;0,010;0,036;0,092;0,010;0,089;0,005;0,000;0,000;0,000;0,000;0,082;0,000;
Amelanchier ovalis;65;13;22;15;87;28;0,004;0,004;0,083;0,083;0,125;0,118;0,130;0,086;0,038;0,039;0,185;0,218;0,000;0,047;0,057;0,031;0,063;0,244;0,104;0,000;0,000;0,031;0,266;0,246;0,156;0,047;0,206;0,000;0,000;0,000;0,004;0,038;0,000;0,000;0,000;0,031;0,031;0,094;0,000;0,000;0,000;0,000;0,000;0,016;0,094;0,000;0,000;0,000;0,000;0,000;0,057;0,094;0,000;0,000;0,031;0,089;0,141;0,156;0,047;0,125;0,000;0,000;0,000;0,000;0,000;0,000;
Anacamptis morio;36;9;18;13;54;22;0,039;0,110;0,275;0,284;0,000;0,336;0,373;0,427;0,093;0,093;0,203;0,161;0,000;0,067;0,066;0,050;0,068;0,441;0,023;0,000;0,125;0,150;0,437;0,429;0,150;0,200;0,215;0,014;0,000;0,000;0,039;0,146;0,000;0,000;0,050;0,200;0,200;0,000;0,200;0,200;0,212;0,000;0,000;0,075;0,100;0,000;0,012;0,012;0,000;0,000;0,312;0,000;0,000;0,125;0,150;0,212;0,225;0,150;0,200;0,112;0,000;0,000;0,000;0,000;0,062;0,000;
Anacamptis pyramidalis;30;14;17;17;47;31;0,008;0,039;0,104;0,104;0,045;0,260;0,263;0,280;0,011;0,011;0,005;0,100;0,000;0,127;0,129;0,029;0,256;0,391;0,006;0,000;0,348;0,439;0,509;0,648;0,439;0,182;0,228;0,012;0,000;0,000;0,008;0,121;0,000;0,000;0,000;0,000;0,000;0,045;0,136;0,136;0,136;0,000;0,000;0,000;0,091;0,000;0,091;0,091;0,000;0,212;0,258;0,000;0,000;0,348;0,439;0,303;0,545;0,439;0,182;0,136;0,000;0,000;0,000;0,000;0,121;0,000;
Anemone hepatica;44;10;15;15;59;25;0,003;0,029;0,122;0,122;0,000;0,501;0,506;0,448;0,035;0,035;0,063;0,032;0,000;0,195;0,193;0,045;0,373;0,509;0,012;0,000;0,033;0,000;0,522;0,587;0,000;0,133;0,604;0,001;0,000;0,000;0,003;0,213;0,000;0,000;0,000;0,000;0,000;0,000;0,317;0,317;0,267;0,000;0,000;0,000;0,000;0,000;0,033;0,033;0,000;0,283;0,417;0,000;0,000;0,033;0,000;0,417;0,517;0,000;0,133;0,567;0,000;0,000;0,000;0,000;0,150;0,000;
Anemone nemorosa;20;9;12;11;32;20;0,031;0,043;0,042;0,042;0,000;0,088;0,105;0,061;0,033;0,033;0,000;0,000;0,000;0,027;0,026;0,005;0,036;0,139;0,000;0,000;0,000;0,000;0,137;0,185;0,000;0,229;0,190;0,125;0,000;0,000;0,031;0,313;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,062;0,000;0,229;0,146;0,125;0,000;0,000;0,000;0,250;0,000;
Aphyllanthes monspeliensis;19;8;10;10;29;18;0,043;0,019;0,000;0,000;0,071;0,607;0,607;0,479;0,055;0,055;0,000;0,000;0,000;0,034;0,031;0,009;0,066;0,387;0,000;0,000;0,000;0,048;0,523;0,501;0,048;0,214;0,425;0,013;0,000;0,000;0,043;0,076;0,000;0,000;0,000;0,000;0,000;0,000;0,571;0,571;0,429;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,214;0,000;0,000;0,000;0,048;0,405;0,429;0,048;0,214;0,286;0,000;0,000;0,000;0,000;0,071;0,000;
Aquilegia vulgaris;43;8;14;9;57;17;0,020;0,065;0,143;0,143;0,000;0,254;0,274;0,259;0,217;0,217;0,258;0,101;0,000;0,035;0,034;0,081;0,042;0,445;0,025;0,000;0,071;0,262;0,224;0,427;0,190;0,048;0,389;0,002;0,000;0,000;0,020;0,363;0,000;0,000;0,000;0,143;0,143;0,000;0,167;0,143;0,071;0,071;0,071;0,000;0,000;0,000;0,000;0,000;0,000;0,024;0,286;0,000;0,000;0,071;0,262;0,143;0,286;0,190;0,048;0,333;0,000;0,000;0,000;0,000;0,238;0,000;
Arbutus unedo;171;18;45;22;216;40;0,084;0,074;0,005;0,034;0,070;0,611;0,682;0,697;0,237;0,256;0,018;0,021;0,000;0,478;0,414;0,381;0,209;0,605;0,103;0,000;0,252;0,304;0,688;0,683;0,304;0,245;0,501;0,017;0,000;0,000;0,084;0,479;0,000;0,059;0,059;0,000;0,029;0,069;0,484;0,529;0,646;0,118;0,176;0,007;0,000;0,000;0,353;0,235;0,284;0,059;0,539;0,004;0,000;0,252;0,304;0,614;0,608;0,304;0,245;0,338;0,000;0,000;0,000;0,059;0,409;0,000;
Aristolochia clematitis;31;10;17;13;48;23;0,010;0,059;0,056;0,056;0,000;0,439;0,494;0,312;0,000;0,000;0,000;0,001;0,000;0,052;0,054;0,004;0,088;0,220;0,004;0,000;0,083;0,083;0,195;0,179;0,083;0,083;0,201;0,014;0,000;0,000;0,007;0,111;0,000;0,000;0,000;0,000;0,000;0,000;0,333;0,389;0,167;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,028;0,111;0,000;0,000;0,083;0,083;0,028;0,083;0,083;0,083;0,083;0,000;0,000;0,000;0,000;0,028;0,000;
Aristolochia pistolochia;26;10;8;7;34;17;0,083;0,143;0,000;0,000;0,000;0,169;0,168;0,131;0,000;0,000;0,004;0,008;0,000;0,026;0,037;0,018;0,122;0,166;0,020;0,000;0,083;0,083;0,232;0,288;0,083;0,083;0,359;0,014;0,000;0,000;0,083;0,250;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,083;0,083;0,000;0,000;0,083;0,083;0,167;0,167;0,083;0,083;0,250;0,000;0,000;0,000;0,000;0,250;0,000;
Asphodelus cerasiferus;20;7;11;8;31;15;0,018;0,037;0,042;0,031;0,000;0,135;0,198;0,350;0,125;0,125;0,008;0,006;0,000;0,045;0,041;0,034;0,113;0,165;0,000;0,000;0,042;0,042;0,227;0,349;0,083;0,125;0,227;0,000;0,000;0,000;0,018;0,075;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,292;0,125;0,125;0,000;0,000;0,000;0,000;0,000;0,000;0,042;0,042;0,000;0,000;0,042;0,042;0,125;0,250;0,083;0,125;0,125;0,000;0,000;0,000;0,000;0,042;0,000;
Asplenium scolopendrium;13;6;7;7;20;13;0,019;0,019;0,000;0,000;0,000;0,018;0,018;0,026;0,000;0,000;0,003;0,000;0,000;0,014;0,013;0,005;0,027;0,070;0,000;0,000;0,000;0,000;0,074;0,054;0,000;0,000;0,083;0,003;0,000;0,000;0,012;0,040;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Aster alpinus;13;5;7;7;20;12;0,000;0,000;0,000;0,000;0,000;0,097;0,098;0,257;0,201;0,201;0,000;0,000;0,000;0,007;0,009;0,005;0,007;0,073;0,000;0,000;0,000;0,000;0,101;0,109;0,000;0,100;0,034;0,000;0,000;0,000;0,000;0,400;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,200;0,200;0,200;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,100;0,000;0,000;0,000;0,000;0,000;0,300;0,000;
Bellevalia romana;22;6;6;5;28;11;0,000;0,011;0,111;0,111;0,019;0,037;0,039;0,047;0,000;0,000;0,071;0,037;0,000;0,014;0,034;0,008;0,108;0,031;0,000;0,000;0,000;0,056;0,082;0,213;0,056;0,056;0,154;0,000;0,000;0,000;0,000;0,056;0,000;0,000;0,000;0,111;0,111;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,056;0,000;0,000;0,000;0,000;0,056;0,000;0,167;0,056;0,056;0,111;0,000;0,000;0,000;0,000;0,056;0,000;
Berberis vulgaris;23;9;6;6;29;15;0,000;0,007;0,000;0,000;0,000;0,018;0,031;0,030;0,000;0,000;0,003;0,000;0,000;0,031;0,026;0,006;0,016;0,026;0,056;0,000;0,000;0,000;0,059;0,116;0,000;0,000;0,038;0,000;0,000;0,000;0,000;0,088;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Betula pendula;147;13;35;23;182;36;0,040;0,037;0,054;0,041;0,060;0,235;0,243;0,172;0,225;0,256;0,000;0,004;0,000;0,234;0,241;0,135;0,115;0,310;0,079;0,000;0,165;0,080;0,349;0,320;0,071;0,060;0,264;0,018;0,000;0,000;0,039;0,093;0,000;0,000;0,000;0,000;0,000;0,054;0,104;0,095;0,036;0,179;0,232;0,000;0,000;0,000;0,094;0,094;0,000;0,026;0,208;0,000;0,000;0,165;0,080;0,261;0,246;0,071;0,060;0,206;0,000;0,000;0,000;0,000;0,071;0,000;
Betula pubescens;9;3;1;1;10;4;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,050;0,050;0,000;0,000;0,000;0,010;0,009;0,000;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,034;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Betula utilis;61;4;27;4;88;8;0,013;0,024;0,097;0,097;0,039;0,272;0,367;0,280;0,037;0,044;0,007;0,018;0,000;0,030;0,046;0,062;0,116;0,276;0,044;0,000;0,089;0,178;0,361;0,400;0,178;0,189;0,221;0,005;0,000;0,000;0,011;0,219;0,000;0,000;0,000;0,000;0,000;0,022;0,089;0,167;0,117;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,072;0,222;0,000;0,000;0,089;0,178;0,344;0,389;0,178;0,189;0,111;0,000;0,000;0,000;0,000;0,183;0,000;
Blechnum spicant;14;5;10;5;24;10;0,005;0,005;0,000;0,000;0,000;0,227;0,285;0,252;0,000;0,000;0,000;0,000;0,000;0,014;0,014;0,008;0,019;0,026;0,000;0,000;0,000;0,000;0,061;0,207;0,000;0,000;0,349;0,000;0,000;0,000;0,000;0,170;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,083;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,333;0,000;0,000;0,000;0,000;0,000;0,000;
Broussonetia papyrifera;80;8;6;5;86;13;0,000;0,000;0,000;0,000;0,000;0,133;0,133;0,039;0,182;0,188;0,000;0,253;0,000;0,007;0,010;0,031;0,006;0,550;0,134;0,000;0,000;0,000;0,227;0,401;0,000;0,000;0,011;0,055;0,000;0,000;0,250;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,125;0,125;0,000;0,250;0,000;0,000;0,000;0,000;0,000;0,500;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,250;0,000;0,000;
Bryonia cretica;24;9;9;9;33;18;0,021;0,049;0,000;0,000;0,000;0,425;0,447;0,307;0,203;0,203;0,023;0,010;0,000;0,074;0,067;0,023;0,096;0,085;0,017;0,000;0,167;0,208;0,152;0,404;0,208;0,083;0,221;0,005;0,000;0,000;0,010;0,075;0,000;0,000;0,000;0,000;0,000;0,000;0,375;0,417;0,208;0,167;0,167;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,208;0,000;0,292;0,208;0,083;0,167;0,000;0,000;0,000;0,000;0,042;0,000;
Buddleja davidii;30;8;7;7;37;15;0,000;0,000;0,000;0,000;0,000;0,051;0,195;0,073;0,000;0,000;0,021;0,000;0,000;0,032;0,030;0,016;0,019;0,039;0,008;0,000;0,000;0,000;0,048;0,163;0,000;0,167;0,055;0,012;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Buxus sempervirens;8;1;0;0;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cakile maritima;17;10;10;9;27;19;0,042;0,084;0,083;0,083;0,042;0,093;0,107;0,093;0,000;0,000;0,000;0,006;0,000;0,028;0,030;0,006;0,073;0,364;0,000;0,000;0,042;0,250;0,355;0,404;0,250;0,083;0,248;0,000;0,000;0,000;0,042;0,403;0,000;0,000;0,042;0,042;0,042;0,042;0,042;0,042;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,292;0,000;0,000;0,042;0,250;0,292;0,333;0,250;0,083;0,167;0,000;0,000;0,000;0,000;0,375;0,000;
Caltha palustris;26;7;13;11;39;18;0,015;0,003;0,155;0,169;0,125;0,477;0,481;0,497;0,111;0,111;0,017;0,045;0,000;0,156;0,168;0,023;0,229;0,434;0,031;0,000;0,104;0,125;0,194;0,612;0,125;0,188;0,239;0,000;0,000;0,000;0,015;0,277;0,000;0,000;0,000;0,125;0,125;0,125;0,375;0,375;0,438;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,146;0,292;0,000;0,000;0,104;0,125;0,021;0,458;0,125;0,188;0,125;0,000;0,000;0,000;0,000;0,146;0,000;
Calystegia soldanella;20;8;9;8;29;16;0,000;0,005;0,111;0,111;0,000;0,101;0,104;0,027;0,043;0,043;0,027;0,012;0,000;0,018;0,019;0,018;0,189;0,385;0,000;0,000;0,083;0,000;0,448;0,562;0,000;0,000;0,241;0,000;0,000;0,000;0,000;0,386;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,250;0,000;0,000;0,083;0,000;0,292;0,250;0,000;0,000;0,083;0,000;0,000;0,000;0,000;0,375;0,000;
